######################################
# Bloody Rally Show translations file 
# Locale: English
# Author: Tomas Varaneckas
# Contact: tomas@kodolinija.com
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicholas Merryland 
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,ブレイス・ストーン
char.brace.job,多様性担当取締役副社長
char.brace.job_short,副社長

char.nic.name,ニコラス・メリーランド
char.nic.job,ブラッディ・ラリー・ショー運営統括
char.nic.job_short,運営統括

char.anon.name,名も無きレーサー
char.anon.job,レーサー
char.anon.job_short,レーサー

# Generic Terms (keep short)

term.car,マシン
term.track,コース
term.lap,ラップ
term.lap_percent,ラップ %
term.laps,ラップ
# Abbreviate to max 5 characters, or keep "Best"
term.best,ベスト
# Max 10 characters
term.best_lap,ベストラップ
# As in person name
term.name,名前
term.human,プレイヤー
# Just keep "AI" if your language does not have a very popular abbreviation for Artificial Intelligence
term.ai,AI
term.week,週
term.stage,ステージ
term.season,シーズン
term.special,スペシャル
term.pending,保留
term.points,ポイント
term.drifts,ドリフト
term.mode,モード
term.battle,バトル
term.car_battle,バトル
term.time_attack,タイムアタック
term.race,レース
term.time_limit,タイムリミット
term.time_scale,ゲーム速度
term.distance,距離
term.weapons,武器
term.time,時間
term.mission,ミッション
# If word "fee" is long in your language, just keep both entry_fee and retry_fee as "fee"
term.entry_fee,参加費用
term.retry_fee,再挑戦費用
term.generating,生成中
term.available,使用可
term.locked,未解放
term.owned,所有済
term.lost,消失
# This has to be super short!
term.lvl_to_go,要{0}Lvl
term.required_level,必要Lvl
# Short for Points (max 3 chars or keep "pts")
term.pts,pts
term.cash,Cash
# Short for Experience Points. If your language does not have a well know acronym for this, keep "XP"
term.xp,XP
# Short for position. Keep "Pos" if you can't find a good alternative
term.pos,Pos
# Noun - number of people killed (keep short, abbreviate if necessary)
term.kills,殺害数
# Noun - number of cars fragged (reference to Quake). Keep as "Frags" in your alphabet. Max 5 characters.
term.frags,Frags
term.damage,ダメージ
# Short from "damage", Keep "dmg" if you cannot get this to less than 6 characters.
term.dmg,ダメージ
term.racer,レーサー
term.ped,歩行者
term.he,彼
term.she,彼女
term.mr,Mr.
# Ms is between Miss and Mrs 
term.ms,Ms.
term.resurrect,蘇生
term.progress,進行中
term.attempt,挑戦回数
term.tips,ヒント
term.difficulty,難易度

# Generic buttons (keep short)

btn.back,戻る
btn.continue,続ける
btn.apply,承諾
btn.close,閉じる
btn.refresh,更新
btn.random,ランダム
btn.randomize,ランダム生成
btn.main_menu,メインメニュー
btn.save,セーブ
btn.cancel,キャンセル
btn.delete,削除
btn.edit,編集
btn.garage,ガレージ
btn.generate,生成
btn.regenerate,再生成
btn.buy,購入
btn.select,選択
btn.paint,塗装
btn.switch,切り替え
btn.confirm,承諾
btn.change,変更
btn.skip,スキップ
btn.next_page,次のページ
btn.prev_page,前のページ
btn.disable_tips,ヒントを非表示

# Keep these very short. On / off can be translated same as yes / no to keep them shorter

btn.on,オン
btn.off,オフ
btn.yes,はい
btn.no,いいえ
btn.ok,OK
btn.all,すべて

# Main Menu 

main_menu.btn.campaign,キャンペーン
main_menu.btn.custom_race,カスタムレース
main_menu.btn.editors_mods,エディタとMod
main_menu.btn.daily_challenge,デイリーチャレンジ
main_menu.btn.leaderboards,ランキング
main_menu.btn.achievements,実績
main_menu.btn.settings,設定
main_menu.btn.about,概要
main_menu.btn.quit,終了
main_menu.label.whats_new,新着情報

# Main Menu => Campaign

campaign.btn.continue,コンティニュー
campaign.btn.new,ニューゲーム
campaign.btn.load,ロード
campaign.saves,セーブ
campaign.no_saves,セーブデータなし
campaign.btn.tips,ヒント
campaign.dialogue.cannot_continue,このセーブデータは続行できません。すでにクリア済みです！

campaign.difficulty,難易度
campaign.difficulty.easy,イージー
campaign.difficulty.normal,ノーマル
campaign.difficulty.hard,ハード
campaign.difficulty.hardcore,ハードコア
campaign.difficulty.locked.tip,要レーサーレベル: {0}
campaign.difficulty.dialogue.locked,選択した難易度は未解放です。より低い難易度でレーサーレベル{0}に到達すると解放されます。

campaign.name,シナリオ名

campaign.missions_challenges,ミッション＆チャレンジ
campaign.missions_challenges.tip,一部のステージでは、ランダムにミッションやチャレンジが発生します。
campaign.races_with_weapons,武器使用レース
campaign.races_with_weapons.tip,一部のレースには、武器やパワーアップを入手できるゾーンがあります。
campaign.directors_car,運営統括のマシン
campaign.directors_car.tip,運営統括のニコラスがリムジンで暴れ回ります。難易度が上昇します。
campaign.helicopter_weapons,武装ヘリコプター
campaign.helicopter_weapons.tip,ブレイス副社長のヘリが武器を搭載してレーサーを攻撃することがあります。難易度が上昇します。
campaign.adaptive_ai,AIの自動調整
campaign.adaptive_ai.tip,プレイヤーの成績に応じてAIレーサーの強弱を調整します。
campaign.weekly_rebalance,週ごとにゲームバランスを調整
campaign.weekly_rebalance.tip,毎週AIレーサーが追加のXPとCashを獲得します。難易度が上昇します。
campaign.custom_content,カスタムコースとマシン
campaign.custom_content.tip,あなたが作成したコースやマシンがゲームに登場します。
campaign.workshop_content,ワークショップのコースとマシン
campaign.workshop_content.tip,Steamワークショップでサブスクライブしたコースやマシンがゲームに登場します。
campaign.allow_heavy_tracks,オブジェクトが多いコースを使用
campaign.allow_heavy_tracks.tip,オブジェクト密度の高く、パフォーマンスを低下させる可能性があるカスタムやワークショップのコースをゲームに登場を許可します。

campaign.btn.start_new,新しいキャンペーンを開始

# Main Menu => Custom Race

custom_race.btn.continue_session,コンティニュー
custom_race.btn.new_session,ニューゲーム
custom_race.btn.random_time_attack,クイックタイムアタック
custom_race.btn.random_race,クイックレース
custom_race.btn.random_battle,クイックバトル

# Main Menu => Editors & Mods

editors_mods.btn.track_editor,コースエディタ
editors_mods.btn.car_editor,マシンエディタ
editors_mods.btn.mod_manager,Mod管理

# Main Menu => Mod Manager

mods.section.tracks,サブスクライブ中のコース
mods.section.cars,サブスクライブ中のマシン
mods.btn.open_workshop,ワークショップを開く
mods.btn.manage_tracks,コース
mods.btn.manage_cars,マシン
mods.btn.reload,Modを再読み込み
mods.btn.unsubscribe.tip,除去
mods.btn.view_online.tip,オンラインで確認

# Leaderboards

leaderboard.time_attack.title,タイムアタック<br>ランキング
leaderboard.type,ランキング種別
leaderboard.type.friends,フレンド
leaderboard.type.global,グローバル
leaderboard.top100,トップ100
